text,label
ভাঙ্গা রিজেক্ট মাল হাতে পেলাম। মটর ঘুরে কিন্তু ভাঙা থাকায় কোন কাজে আসতেছে না। পণ্যটির দামের সাথে মানের সামঞ্জস্য নেই।,0
ভালো প্রোডাক্ট কিন্তু অনেক দুর্বল।,1
"খুব বাজে কেও নিবেন না এই বাটফার এর কাছে থেকে,,, তাকে বললাম ভালো টা দিবেন দিলো ভাংগাটা,,, টাকা নষ্ট করবেন না কেও দয়া করে।",0
মান ভালো । সাইজ এভারেজ । মোটামুটি শুকনা । গুড়া সাইজ নাই । নিতে পারেন এমন হলে ।,1
এক দিনই ডেলিভারি পেয়েছি। পিয়াজ ভালো ছিল।,2
প্রাইস অনুযায়ী ঠিক আছে। একটা পেঁয়াজের মধ্যে সামান্য পঁচা ছিল বাকি সব ঠিক আছে।,2
"যেমনটা আশা করেছিলাম, তেমনটাই পেয়েছি। ডেলিভারি টাও সময়মতো পেয়েছি। দারাজ কে অনেক ধন্যবাদ।",2
"পেয়েছি পিঁয়াজ পেয়েছি, এই সময়ে এই দামে পিঁয়াজ দেওয়া জন্য ধন্যবাদ দারাজ কে।",2
অনেক ভালো পেঁয়াজ বাজারে এত অল্প দামে কোথাও পেঁয়াজ পাওয়া যায় না ধন্যবাদ দারাজকে এত অল্প দামে এত ভালো জিনিস দেওয়ার জন্য,2
"খুব ভালো, চিন্তা করা যায় না ৯ টাকায় পাওয়া যাবে।",2
"ভালোই পিয়াঁজ গুলা,, কিন্তু এইবার ছোট ছোট পিয়াঁজ অনেক বেশি,, ২-৪ টা নষ্ট ছিল,, কোনো ব্যাপার না,, সব মিলে আলহামদুলিল্লাহ। ",2
"সময় মত ডেলিভারি পেয়েছি, প্যাকেজিং ঠিক ছিল। বাজার দর থেকে অনেক কম দামে পেয়েছি, মুটামুটি ভালই বলা যায়। ধন্যবাদ দরাজ।",2
"বর্তমান বাজারে দাম অনুযায়ি, ধারাজের মাধ্যমে খুব কম দামে কিনতে পেরেছি পেয়াজ, ধন্যবাদ সেলার, ধারাজ ও ট্রিমকে।",2
খুবই ভাল পেয়াজ কম দামে কোপ দিলাম,2
এই ঊর্ধ্বগতির বাজারে সঠিক দামে নিত্য প্রয়োজনীয় দ্রব্য আমাদের হাতে পৌঁছে দেওয়ার জন্য দারাজকে ধন্যবাদ।,2
"ভালো, সুন্দর",2
অনেক ভালো ছিল কিন্তু লিমিট টা একবারে কম ধন্যবাদ দারাজ এবং সেলার দুজনকেই,2
ঠিকঠাক ছিল সবই,2
ভালো মানের পণ্য।,2
যথেষ্ট ভালো ছিল,2
ভাই কি বলবো অনেক সুন্দর প্রডাক্স। ডারাজ কে অনেক অনেক ধন্যবাদ🫶🫶🫶,2
"প্রথম অর্ডার হিসাবে চিন্তায় ছিলাম, কিন্তু ডেলিভারি পাওয়ার পর খুবই ভালো লাগছে। যেমন ভেবেছিলাম তার থেকেও বেশি পছন্দ হইছে। ধন্যবাদ দারাজ ও সেলারকে।",2
অসাধারণ একটা এয়ারফোন..... এত কম দামে এত অসাধারণ প্রোডাক্ট... আমি খুবই সন্তুষ্ট....,2
 2 দিন এর ভিতরে ঢাকায় প্রডাক্ট দেয়ার জন্য   অরিজিনাল ও ভালো প্রডাক্ট! আর সাথে একটা শ্যামপুর প্যাকেটও গিফ্ট ছিলো  ,2
সেলার অনেক আন্তরিক।অর্ডার দেওয়ার সময় বলেছিলাম লাল টা দিতে।উনি তাই দিয়েছেন।ব্যবহার ও ভালো লেগেসে। রিকমেন্ড  ,2
দাম হিসেবে যথেষ্ট ভালো একটা প্রোডাক্ট। লম্বা সময় উইজেও কানে ব্যাথা করে না। সাউন্ড কোয়ালিটি ওভারল গুড। আমি মোট ৪টা নিয়েছি। এই বাজেটে এয়ারফোন নিতে হলে এইগুলোই নিবো আবার। নিঃসন্দেহে নিতে পারেন।,2
"চমৎকার প্রোডাক্ট পেয়েছি।দেখতে খুবই স্মার্ট আর সাউণ্ড এবং বেইস উভয়ই অসাধারণ।৩ দিনের মধ্যে প্রডাক্ট হাতে পেয়ে গেছি।এতটা ফার্স্ট হবে আশা করি নাই।ধন্যবাদ সেলার, এবং দারাজকে।",2
সম্পূর্ণ ইনটেক এবং অরিজিনাল পণ্য পেলাম বেস্ট দামে।,2
এই টাকায় এই ইয়ারফোন ভুলেও আশা করিনি!  ব্যাজ কি বলব! অসাধারণ! জোশ!,2
এই দামে জোস। শব্দ সেই ক্লিয়ার। বেজ জোস। এক দিন পর পেয়েছি। প্যাকেজিং ভালো করবেন।,2
১০ দিন ব্যবহারের পরে রিভিউ দিলাম ইয়ারফোনটি এই বাজেট এ বেস্ট এবং অরিজিনাল।সাউন্ড কোয়ালিটি খুবই ভাল।ধন্যবাদ সেলারকে।ধন্যবাদ দারাজকে। ,2
"অনেক ভাল কম দামে, রিমেক্স ৫১২, ৩১০ থেলে ভাল। সাওমি বেসিক এর মত মনে হয়েছে। বেস অনেক ভাল।",2
"দাম অনুযায়ী শুধু ভালো না। খুবই ভালো। যে কেউ নিতে পারেন। যাদের কাছে ইয়ারফোন সহযে টেকে না, আবার সাউন্ড কোয়ালিটিতেও কম্প্রমাইজ চান না, তারা চোখ বন্ধ করে কিনে নিতে পারেন।",2
ইয়ারফোন টি ভালো বাট সাউন্ড টা যতটুকু আশা করছি ততটা পাইনি। তবে এই প্রাইজে ভালো সাউন্ড। সবাই নিতে পারেন।,0
ঠিক যেমনটা চেয়েছি তেমনটাই পেয়েছি thank you daraz ,1
"৩য় বার নেওয়া, বন্ধুর জন্য নিলাম। দেখি কয় দিন যায়। সব ঠিক ঠাক আছে",1
এই ইয়ারফোন আমি আগেও অনেক ব্যবহার করছি। অনেক ভালো একটা ইয়ারফোন। আমি সন্তুষ্ট,2
আলহামদুলিল্লাহ যথেষ্ট হাই কোয়ালিটি আর ৩ মাসের উপর ভালোই চলছে  ,1
ভালো ছিলো কিন্তু পিনের গোড়া টিকেনি এক সপ্তাহের মধ্যে নস্ট হয়ে গেছে,0
"এর আগেও একটা করেছিলাম, তাই নতুন করে বলার কিছু নাই,কম দামের মধ্যে খুব ভালো ইয়ারফোন।",1
৯ মাহ হলো চালাচ্ছি । এক কথায় দারুন,1
প্রোডাক্ট খুবই ভালো এবং অন টাইম ডেলিভারি।,2
দাম অনুযায়ী যথেষ্ট ভাল।অরিজিনাল উইসি এর হেডফোন।,2
দাম অনুযায়ী ভাল প্রডাক্ট  ,1
দামে কম মানে ভালো,1
খুবি ভাল একটা প্রোডাক্ট,2
সাউন্ড কোয়ালিটি খুব সুন্দর লেগেছে। ভালো জিনিস।,2
পারফেক্ট,2
"আগেও ব্যবহার করেছি, আবারো নিলাম। খুবই ভালো।",2
খুব দ্রুত পন্য পেয়েছি।,2
এই বাজেটে সেরা হেডফোন,2
কমদামের মধ্যে অস্থির একটা হেডফোন।,2
অসাধারন! চোখ বুজে নিতে পারেন,2
ডেলেভারিটা ফাস্ট ছিলো,2
"পুরাই ফালতু, দুইদিন পর নষ্ট হয়ে গেছে",0
"হেডফোনের বিট টা একটু বেশী,আর কথা গুলা কেমন জানি চিকন করে আসে।বাকি সব কিছু ঠিক আছে।",1
"ছবিতে যেমন দেখছি তেমনি পাইছি, নিচের অংশটা ভারি ও মোটা হওয়ায় মোবাইল এর ওজনসহ ব্যালেন্স টিকটাক ধরে রাখতে পারছে। কম দামে ভালো প্রডাক্ট",2
"অনেক সুন্দর পণ্য, আমার পছন্দ হয়েছে",2
"দাম অনুযায়ী অনেক ভালো পন্য। সবাই নিতে পারেন। ধন্যবাদ দারাজ, ধন্যবাদ সেলার",2
"অনেক ভালো একটা প্রোডাক্ট। সবচেয়ে ভালো লাগছে, এটার ওয়েট এন্ড নিচের দিকে ভারি থাকার কারণে মোবাইল স্ট্রং ওয়েতে থাকছে",2
ওই ফাউলের বাচ্চারা ঠিকঠাক ছাপলাই দিতে পারবি না দিবি না ভুল বাল জিনিস দিয়ে মানুষেরে বিপদে,1
মেবাইল রাখার ষ্টান্ড খুবই দরকারী প্রোডাক্ট ধন্যবাদ দারাজ ও সেলার ভালো একটি প্রোডাক্ট দেওয়ার জন্য যেমন দেখেছি তেমন পেয়েছি আপনারা নিতে পারেন।,2
আলহামদুলিল্লাহ আমি যেমন আশা করছিলাম তেমনি পেয়েছি। আমার কাছে ভ্যালু ফর মানি মনে হয়েছে। ধন্যবাদ সেলারকে।,2
পন্যটি অনেক ভালো সবাই নিতে পারেন,2
দাম অনুযায়ী ভালো প্রোডাক্ট ,2
সব ঠিক আছে।,2
দাম অনুযায়ী প্রোডাক্ট এর কোয়ালিটি ভালো। ফোনের ভর নিতে পারে। I'm satisfied  ,2
"জিনিস টা সত্যি অসাধারণ। যেমনটা চেয়েছিলাম তার থেকে অনেক ভালো, ধন্যবাদ দারাজ।",2
আলহামদুলিল্লাহ প্রোডাক্টটি খুবই ভালো।খুবই মজবুত। ধন্যবাদ সেলারকে টিকঠাক পন্য দেওয়া জন্য।,2
আলহামদুলিল্লাহ প্রডাক্টি হাতে পেলাম। যেমন দেখছিলাম ঠিক তেমনি পেয়েছি। ধন্যবাদ দারাজ টিমকে।,2
অল্প দামে অসাধারণ পন্য । আমার কাছে অনেক ভালো লাগছে।,2
আমার প্রথম অর্ডার দারাজ থেকে ছিলো আর এতো ভালো প্রডাক্ট পাবো ভাবিনাই। আসলে অনেক ভালো পেকিং ছিলো আর জিনিস টা খুব ভালো প্রাইস অনুযায়ী বেস্ট প্রডাক্ট তাও কেস অন ডেলিভারিতে,2
প্যাকেজিং সুন্দর ছিলো। দাম অনুযায়ী প্রোডাক্ট মানসম্মত।,2
সবগুলো পণ্য খুবই ভালো ছিল।,2
পণ্যটি অনেক ভালো দাম অনুসারে সব থেকে বেশি ভালো পণ্য।,2
"এইমাত্র হাতে পেলাম স্টেন টা, যেমন দেখেছি তেমনি পেয়েছি, সাথে সেলারের ব্যাবহার টাও খুব ভালো,,আজ পর্যন্ত দারাজ থেকে কোন পন্য নিয়ে ঠকিনি,সবাই নিতে পারেন। অসংখ্য ধন্যবাদ দারাজ অ্যাপকে",2
কোয়ালিটি মোটামুটি। কারো দরকার হলে নিতে পারেন।,1
জিনিসটা ভালো ছিল যে রোকোম চাইছি সেম দিছে দারাজের লোক টাও ভালো,2
প্রোডাক্টটি অনেক ভালো তবে মাথাটা আরেকটু শক্ত হলে বেশি ভালো হতো ।,1
"প্রোডাক্ট টা আসলেই ভালো, এবং কাজের, এটা ব্যাবহার করলাম কিছুদিন,তারপর রিভিউ দিলাম ",2
ফুল সেট এর একটা আসে নাই। জার কারনে সেটাপ করা যাচ্ছে না। এখন কি করনিও।,0
মাশা-আল্লাহ দাম অনুযায়ী ওনেক ভালো। সব কিছু ঠিকঠাক আপনারা নিতে পারেন,2
অনেক ভালো। 12 ইঞ্চি লম্বা।সবাই নিতে পারেন।আমার অনেক ভালো লেগেছে  ,2
অনেক ভাল লেগেছে। ভালো একটা পন্য। সেলার ভাইকে ধন্যবাদ,2
"ভুল করে ভাঙা দিয়েছেন, পরিবর্তন করে পাঠান।",1
ভালো ছিলো প্রোডাক্টটি দাম অনুযায়ী অসাধারণ ধন্যবাদ সেলারকে,2
পণ্যটি খুবই দারুণ হয়েছে,2
চাইলাম এক্সএল দিল L ফালতু সেলার,0
"এর চাইতে বাজে প্রোডাক্ট আর হতে পারো না, একদম হালকা কাপরের মান ও খুব 3rd class.",0
বলে দিয়েছিলাম হলুদ কালারের জ্যাকেট ওগুলা কি দিয়েছে কেউ অর্ডার করবেন না এখানে,0
চাইছি হলুদ কালার দিছে এই কালার ডেলিভারি হয়েছে অনেক পরে,0
একদম পুরাই ভাল না। ,0
মান অতটা ভালো নাপকেট গুলো  দিছে একটা ভুল,0
"ডেলিভারি বয় লোকেশন অনুযায়ী পণ্ আনে নি, অন্য জায়গা থেকে পণ্য নিতে হয়েছে, এত টাকা ডেলিভারি দিয়ে লাভ কি হল,,তাই ভাল রিভিও দিতে পারলাম না",0
খারাাপ না,0
ভাবছিলাম যে ভালো প্রডাক পাব কিন্তু পেলাম একটা  ছেরা প্রডাক্ট,0
মান অতটা ভালো না। একটা ভুল জিনিস কিনেছি,0
অনেক পাতলা,0
কেউ কিনবেন না এরা একটা বলে আর একটা দে,0
ভালানাই,0
এই প্রডাক্টির দাম আছে ১২০ টাকাএত টাকা দিয়ে এই প্রডাক্ট টি কেনার মানেই হয় না।কেউ এই প্রডাক্ট টি কিনবেন না,0
"২০০ টাকায় এর থেকে ভালো পাওয়া যায়। সমস্যা হচ্ছে অনলাইনে তো কাপড় হাত দিয়ে ধরা যায় না, তাই কালার ঠিক রেখে যা ইচ্ছা তাই দেওয়া যায়। আবার ছেড়াও ছিলো",0
খুবই বাজে ছবিতে যে রকম দেখা যায় সে রকম না আর অরডার দিয়েছি এক কালার দিয়েছে অন্য কালার ,0
চাইলাম একস এল আর দিছে  এম বাট ছোটো হয়।  ,0
তবে দাম টা একটু বেশি,0
টাকা অনুযায়ী কাপড় ভাল হয় নি,0
"যেমনটা আশা করছি তেমন না একটু বেশি পাতলা ,তবে কালার টা ঠিক আছে জিনিস হিসেবে দামটা বেশি",0
এরা বাতপার,0
খুব খারাপ. কাপড়ের মান খুব খারাপ। আমি মনে করি এটি একটি জাল পণ্য। দয়া করে এটি কিনবেন না।,0
সাইজ উল্টা পাল্টা দিসেন জে খুব খারাপ হইল,0
"৩০০ হলে ঠিক হতো,,, প্রাইজ একটু বেশি,,, লোকাল দোকান থেকে নিলে ৩০০ এর ভিতরে পাওয়া যায়",0
জ্যাকেটটি খুব ছোট। আমি আমার জন্য এক্সএল অর্ডার করেছি। তবে মনে হচ্ছে এটি মাঝারি। আমি এটি ব্যবহার করতে পারে না। ,0
ভালো না একবারে পাতলা,2
ভল সাইজ দিসে,2
ভালো না। পাতলা কাপড়।,0
এত বার করে বললাম সেলারকে যে ভাইকে গিফট করব। ভাল দিয়েন। ঢং করেন আপনারা???সাদার উপর এত ময়লা দাগ পরা দিছেন??? আর একটা তো সাদা নাই। হলুদ হলুদ। মজা করতে বিক্রি করেন?? বিক্রি করা বন্ধ করে দেন। কেউ নিবেন না। দিলে সবাইকে সেম ভাল জিনিস দিতে আপনাদের কোথায় ব্যাথা লাগে হা???,0
ভাই এটা একদমই ভালো না ভাই আমি এম সাইজ অর্ডার দিছিলাম আমারে তারা দিছে  এল সাইজ দেখতে ভালো দেখা গেলেও কিন্তু কাপড়টা একবারেই নরমাল 😡😡,0
"খুবই পাতলা। আর কাপড়ের কোয়ালিটি প্রিন্ট সেলাই খুবই বাজে মানের।
 ",0
আমি  একস এল অর্ডার দিছিলাম কিন্তু এটা L সাইজের। আর এই হুডিটার কাপড়ের কোয়ালিটি মোটেই ভালো না। আর এটা দেখে মনে হচ্ছে এটা নতুন না কারণ এতে নতুন পোশাকে যেমন ট্যাগ বা অন্য কিছু থাকে সেগুলো এই হুডিতে পাইনি।  ,0
"কাপর ও সেলাইয়ের মান খুবই খারাপ। ছিরা ছিল, এ ধরণের বিক্রেতার জন্য অনলাইন কেনাকাটায় মানুষ ভয় পায়। ছিরা থাকার কারণে ফেরত দিতে হইছে। ধারাজকে ধন্যবাদ সঠিক সময়ে রিফান্ড করার জন্য।",0
পোশাক টার  কালার ও হাতার কালার মেচিং  নেই।হাটা উল্টো করে লাগানো।,0
"ভাই কেউ অডার দিয়েন না খুব বাজে প্রডাক্ট! 
 ",0
সব ঠিক থাক কিন্তু সাইজে সমস্যা। বাজার থেকে এস সাইজ নিলে ডোলা হয় আর এটা এস ওয়াডার দিছি তাও টাইট। তাই দেখে শুনে নিবেন। আর একবার দুইলে বিছি উঠি যাবে,0
প্রোডাক্ট টা ডার্টি সিলো ,0
ভাই আমি ২ টা ওডার দিছিলাম আইসে একটা. টাকা রাখছে দুইটারই... মানে আমি ৪০০ টাকা খাড়ার মধ্যে হো*মারা খাইছি। এমন হইলে তো কোন কিছু কিনা যাবে এইখান থেকে। ডেলিভারি ম্যান বলছে রির্টান করতে তা করছি কিন্তু এখনও কোন রিপ্লাই আসে নাই মনে হয় আর আসবেও না। দেখি তারপর কি হয়.. 🙂,0
মোটামুটি ভালো ছিল কিন্তু একা হাতে দিয়ে তিনটা হাত ঢুকানো যাবে মাথার টুপিটা একবারে ছোট ছিল,1
"আমি কি এটা অর্ডার দিয়েছি, আপনারা দেখান একটি আর দেন অন্য টি। এজন্য কি আপনারা নিয়ম করেছেন ডেলিভারি ম্যানের প্রডাক্ট খোলা যাবে না।",0
"ছিড়া, ময়লা দাগ, নো পকেট, পাতলা। টাকা নষ্ট",0
বাজে প্রডাক্ট চাইছি এস দিছে ক্সল আর কোনো দিনো এইখান থেকে কোনো কিছুই নিবো না। সালার বাজে একটা সাইট।,0
একদম ফালতু শুধু শুধু টাকা গুলা নষ্ট হলো অডার করছি ১ তারিখে ১০ তারিখে পাইলাএই ভাবে মানুষে ঠকানো ঠিক না ভাই লেট করে দিছেন ভাল কথা জিনিস টা তো ভাল দিতে পারতেন  দারাজের উপর থেকে মন উঠে গেলো ,0
কাপর এর কোয়ালিটি ওটো টা ভালো ্না ,0
বস্তি মর্কা জিনিস...  সাইজ দিচি একটা দিলো আরেক টা..  আর কাপড় তো একদম বাজে...  কাপড়ের পসম উঠে যায়.. মনে হয় ফুটফাত থেকে নিয়ে পাঠায় দিচে... আর কিছু বললাম না...  আর ডেলিভারির অবস্থা তো আরো খারাপ...,0
ভালো না।। লড।কাপড়ের কোয়ালিটি জঘণ্য।।,0
"লাল রঙের হুডিটি এক্কেবারে পাতলা ছিল, কাপরের মানটা ভালো না গেঞ্জির কাপড়-ও এর থেকে বেশি মোটা হয় এবং কালারটাও ফ্যাকাসে লাল, যেরকম দেখা যাচ্ছে সেইরকম না। এটি পড়ে রাস্তায় বাহির হলে, লোকজন বলবে ২-৩ বছর পূর্বের..!😑",0
"প্রিন্ট অনেক হালকা,,ছবিতে যা দেখায় তেমন না,,Life শব্দটা দেখা যায় না বললেই চলে,এমন আশা করি নাই রিটার্ন করতে হচ্ছে।",0
ভালো না এছাড়া তাদের পণ‍্যর ও ঠিক নাই পণ্য গায়ে লেখা  এল তারা উপরে  এক্সেল স্টিকার লাগিয়ে দিয়ে দিছে যা অত‍্যন্ত নিচু ব‍্যবসায়ের ধরণ পণ‍্যর সাইজ নিয়ে এরুপ করা।,0
"ভালো,,,, খারাপ না,,, দাম আনুযায়ি",2
"খুব খুব খুব খারাপ কোয়ালিটি পন্য দিছে কলারের কাছে খুব চাপা, কাপড় আরও আরও খারাপ কোয়ালিটির। আমি এটা ফেরত দিতে চাই। এইভাবে বিক্রিতাকে ঠকালে আল্লাহ সহ্য করবে না",0
কাপড় ভালো না ,0
"মোটামুটি খারাপ না, ভালোই",0
বাজে কেউ নিয়েন না।,0
ফুটপাতে ১০০ টাকায় বিক্রি করে। 5 তারা ভুয়া রিভিউগুলো দেখে কেউ প্রতারিত হবেন না না।,0
"""সেলাই খুব বাজে চিলো হলেন কালো কাপর টার টো ওবোস্টা খড়াপ ওয়ানক নিম্ন মানের বাজে কাপর এক কোথায় ওয়ানক খড়াপ অমর টাকা গুলাই নস্টো""",0
"""সবচেয়ে খারাপ পণ্য।এই বিক্রেতার কাছ থেকে কখনই কিছু কিনবেন না  । খুব খারাপ ফ্যাব্রিক মানের""",0
কাপড়ের মান তেমন একটা ভালো না একবার ধোয়াতে পুরানো কাপড়ের মত হয়ে গেছে,0
এক্সএল না ডাই সুদু এল। কারন বুজলাম না কেনো? তবে কাপোর্টা বালো,0
একডোম ভালো না.স্লো ডেলিভারি.আর হড্ডি ওয়ানক ময়লা চিলো.কেউ আর নিবেন না,0
আমি অডার করছি হুডি আমাকে দিছে এসির কাভার দারাজের গুস্টি চু**,0
আমার ছোট হয়ে যাই বলছি এক পায়লাম আরেক ,0
ভাই কেউ ওর্ডার করবেন নাহ। খুব বাজে একটা প্রোডাক্ট।,0
হতাস,0
"একবারে নরমাল,, হাতে পায়ে খুশি হতে পারলাম না",0
প্রিমিয়াম এর কিছুই নেই যেমন দেখলাম তেমন পায়নি,0
প্রোডাক্টের প্যাকেজিং সুন্দর ছিল। ইনস্টল করাও সহজ। সম্পূর্ণ প্লাস্টিক বডি দ্বারা তৈরি। এবং প্রয়োজনমতো লম্বা করা যায়। সব মিলিয়ে বলা যায় এই দামে ভালই। নিতে পারেন আপনারা।,2
এত কম দামে এমন একটা স্ট্যান্ড পাবো ভাবতেই পারিনি। সেলারকে অনেক ধন্যবাদ।,2
আলহামদুলিল্লাহ।,2
"এই পন্যটা অনেক হালকা,,কেউ নিবেন না,মোবাইল রাখলে পড়ে যায়,,আমাকে ভাঙা পন্য দিয়েছে ",0
দারুণ দারুণ এত কথা অসাধারণ আপনারা চাইলে নিতে পারেন,2
"দাম অনুযায়ী ভালো,,, চাইলে কেউ নিতে পারেন।",1
"অস্তির জিনিস , নিতে পারেন।",2
অনেক দিন ধরে ব্যবহার করছি কোন সমস্যা নেই।,1
"যা ভাবছিলাম তা না,,,একদম বাজে প্রোডাক্ট",0
দাম অনুযায়ী জিনিস টা ভালই,2
প্রাইস হিসেবে ঠিক আছে।,2
ধন্যবাদ সেলারকে ধন্যবাদ দারাজকে ,2
পুরো মন মতো হয়নি,0
"ঠিকঠাক পেয়েছি, প্রডাক্ট খুব ই ভালো পেয়েছি, ধন্যবাদ সেলার ভাইকে",2
দামের তুলনায় পণ্যটি খুব সুন্দর,1
দাম অনুযায়ী অনেকটাই ভালো এই দামে এই বাজেটে অনেক ভালো যাদের দরকার নিতে পারেন খুব ভালো প্রোডাক্ট,1
"অনেক সুন্দর ছিলো,, চাইলে নিতে পারেন",2
মোটামুটি ভালোই,1
আলহামদুলিল্লাহ খুবই ভালো যে কেউ চাইলে নিতে পারেন,2
আলহামদুলিল্লাহ কম দামের ভিতরে খুব ভালো একটি প্রোডাক্ট যেরকম চেয়েছি ঠিক সেরকমই পেয়েছি ধন্যবাদ সেলার ভাইকে ধন্যবাদ ডেলিভারি ম্যান কেউ সবচাইতে বড় বিষয় অসাধারন একটি কালার দিয়েছে,2
"ভালই আছে,",2
অনেক বাল ছিল,1
মোটামুটি,1
দাম অনুযায়ী ভালো নিতে পারেন । তবে পুরো বডি ফ্রেম টা প্লাষ্টিকের পরবে । ব্লেক কালার ইচ্ছা ছিলো ব্লেকই পেয়েছি। ধন্যবাদ সেলার ভাই কে অনেক ভালো রেসপন্স ছিলো ওনার। পণ্য টা একটু দেরিতে পেয়েছি  ,2
এটা এত ছোট্ট এবং প্লাস্টিকের হালকা মোবাইল রাখলে এটা পুইড়া যায়। মোবাইলের ভার নিতে পারেনা ।ততটা সন্তোষজনক না।,0
"সেলারকে এত করে বললাম কাল কালারের টা দিতে, দিল না, কোথাকার পিংক কালার একটা দিল। হুর। অথচ প্যাকেট খুলা ছিল।",0
আলহামদুলিল্লাহ খুব ভালো পেয়েছে,2
"দেওয়ার কথা ছিল কালো,, দিছে অন্য কালার",0
"কোয়ালিটি খুবই খারাপ দাম হিসেবে, দোকানে এই দামে এর থেকে হাজার গুন ভালো মানেরটা পাওয়া যায়",0
অনেক লুস ছিল,0
তেমন ভালো না... মনে হয় ব্যবহার করে তারপর দিয়েছে অনেক দাগ পরে আছে। কোয়ালিটি খুবই খারাপ,0
"বুঝলাম না পোস্ট এ দেখান একটা, পরে দেন অন্য আরেক টা। মানুষের আত্মবিশ্বাস তো এখান থেকেই উঠে যায়। কেন এটা করেন,পাবলিকদের হয়রানি করা হয়। এসব ঠিক না, আর হচ্ছে ডেলিভারি সার্ভিস ভালো ছিলো, ডেলিভারি অনেক late হইছে,",0
অর্ডার দিলাম কালো আর পাঠালেন পিংক কালার! ডেলিভারি ম্যান তো জমিদার!!!,0
ব্যবহার করা পোডাক্ট দেওয়া হইছে। এমনটা আশা ছিল না।,0
দেখতে ভালো। তবে ফোন landacape অবস্থায় রাখা যায় না। পড়ে যায়। সবসময় Potrait অবস্থায় রাখতে হয়।,1
প্রোডাক্ট কোয়ালিটি একদমই বাজে! এই প্রোডাক্টের দাম কোনভাবেই ১০০ টাকার বেশি হওয়া উচিত না।,0
অনেক ভালো আপনি চাইলে নিতে পারেন হে আপনাকেই ব্লছি আনেক ভালো নিয়ে নিন  ,1
"খুব ভাল চলছে, ধন্যবাদ",2
যেমন চাইছিলাম তেমন এ পাইছি। কোয়ালিটি ও ভালো।ফাস্ট চার্জিং  ধন্যবাদ দরাজ...।,2
ভালো ছিলো  ,2
"খারাপ নাহ, চলছে",1
যথেষ্ট সুন্দর একটি প্রোডাক্ট। আপনারা চাইলে নিতে পারেন। থ্যাংক ইউ দারাজ। এন্ড ধন্যবাদ সেলার কে যে আমাকে এত সুন্দর একটা প্রোডাক্ট দেওয়ার জন্য  ,2
"আমি ২ টা নিলাম এখন কোন ভাষায় গালাগালি দেব, একটাতেও কালি নেই, এই ধরনের ব্যাবসা করে লাভ কি, ১৯৭ টাকা নিয়ে কেউ বড়লোক হবে না হবে ছোটলোকের বাচ্চা",0
কিছুদিন আগেও তাদের থেকে নিয়েছিলাম আজ আবারও নিলাম। আগেও যে প্রোডাক্ট দিয়েছিলো এবারও সেই সেম প্রোডাক্ট দিয়েছে। মার্কার পেইন্ট টি আমি ব্যবহার করে দেখেছি এটা খুবই ভালো কাজ করে। ধন্যবাদ সেলারকে।,1
ধন্য বাদ ভাইয়া এবারের ডেলিভারি টা অল্প সময়েতেই পেঁয়েছি যাক পণ্যটা ভালোই  পেঁয়েছি সবাই নিতে পারেন  ,2
ওয়াও সুপার কুয়ালিটি খুব সুন্দর হয়েছে ধন্যবাদ জানাই ছেলার ভাইকে আপনারা নিতে পারেন আমি আরো অর্ডার করেছি,2
